Bill_Number,Bill_Amount,Chassis_Number
1,13697.05,JTDKDTB33D1119831
2,10207.34,5GALRBED9AJ030833
3,5082.37,KNAFU6A27C5554545
4,12593.95,5TFBW5F14CX581924
5,12638.86,WAUDG98E26A181698
6,13123.05,JN1BJ0HP2DM096626
7,8757.87,JTDKTUD32ED813982
8,15960.49,1C6RD7JT9CS087152
9,9087.21,WAULV94E29N644198
10,13347.48,1G6DX67D970149724
11,4091.93,WBANF33557B024819
12,1542.31,1FMJU1J51AE140936
13,15779.46,2G61R5S3XF9649515
14,15525.17,3LN6L2LU0DR120619
15,10183.91,WBA3A5C52EF023019
16,9242.18,1GKS1KE04ER874739
17,12406.94,1GYFK33279R972023
18,17420.91,1GD12ZCGXCF414458
19,13124.96,1G6AK5S32F0913017
20,17403.37,WBA3R5C50FK816661
